loss,accuracy,val_loss,val_accuracy
0.10272718966007233,0.9725428819656372,0.003584147896617651,1.0
0.0020620967261493206,0.999914288520813,0.000639832578599453,1.0
0.00028883953928016126,1.0,0.00011778082262026146,1.0
0.0005952991195954382,0.9998857378959656,9.130431863013655e-05,1.0
5.378801506594755e-05,1.0,3.075782296946272e-05,1.0
1.8178921891376376e-05,1.0,9.506541573500726e-06,1.0
5.233820957073476e-06,1.0,2.5637104954512324e-06,1.0
1.3916453553974861e-06,1.0,7.081346780068998e-07,1.0
4.11840801461949e-07,1.0,2.3350709454916796e-07,1.0
1.431941853979879e-07,1.0,9.396868705380257e-08,1.0
6.750651238007777e-08,1.0,5.338985431535548e-08,1.0
4.063333491899357e-08,1.0,3.5206468851356476e-08,1.0
2.786091179984851e-08,1.0,2.6019410626076933e-08,1.0
2.068791893350408e-08,1.0,1.91688513950794e-08,1.0
1.5817368748116678e-08,1.0,1.5131631059261963e-08,1.0
1.2918880187839932e-08,1.0,1.2715656971806766e-08,1.0
1.1106899400203929e-08,1.0,1.1301040103717241e-08,1.0
9.741101258953222e-09,1.0,9.934106870446158e-09,1.0
8.334431811363174e-09,1.0,8.742013335449883e-09,1.0
7.346697472598862e-09,1.0,8.058547606992761e-09,1.0
